,Username,Followers,Following,Repositories,DateCreated,UpdatedDate,,YearCreated,Users
1,macournoyer,939,51,55,1/14/2008,12/5/2017,,2007,2
2,evmar,324,10,74,3/26/2008,12/13/2017,,2008,203
3,slact,185,7,49,4/8/2008,12/14/2017,,2009,104
4,nikolasco,33,13,15,5/8/2008,8/14/2017,,2010,74
5,natan,69,7,24,5/17/2008,12/7/2017,,2011,31
6,graydon,1302,143,252,6/17/2008,10/22/2017,,2012,20
7,decklin,58,15,73,7/31/2008,11/4/2017,,2013,9
8,apparentlymart,230,38,197,8/10/2008,11/1/2017,,2014,13
9,DmitryBaranovskiy,2108,15,12,9/1/2008,8/25/2017,,2015,3
10,a2800276,64,4,53,11/20/2008,11/1/2017,,2016,3
11,frsyuki,782,12,97,12/16/2008,12/12/2017,,2017,0
12,tmpvar,784,95,359,1/15/2009,11/15/2017,,,
13,natfriedman,158,7,4,2/20/2009,11/28/2017,,,
14,dpacheco,14,0,0,3/31/2009,4/9/2015,,,
15,evanmiller,452,54,13,10/4/2009,11/21/2017,,,
16,premshree,22,0,12,11/5/2009,11/14/2017,,,
17,tobin,37,32,24,12/19/2009,12/1/2017,,,
18,piscisaureus,725,2,59,3/8/2010,12/9/2017,,,
19,rtsuk,33,1,12,6/25/2010,10/31/2017,,,
20,davepacheco,234,5,103,12/22/2010,11/27/2017,,,
21,HenryRawas,51,0,13,6/14/2011,8/14/2017,,,
22,divan,420,31,57,6/28/2011,11/27/2017,,,
23,MechCoder,200,46,97,6/19/2012,12/2/2017,,,
24,ryjm,13,1,21,7/30/2012,11/14/2017,,,
25,lisza,23,19,17,8/10/2012,10/31/2017,,,
26,KaimingHe,2328,0,2,3/12/2015,11/29/2017,,,
27,kbrsh,1061,49,132,11/4/2015,11/5/2017,,,
28,broady,521,28,105,9/17/2008,12/13/2017,,,
29,hanwen,187,6,20,10/28/2008,11/24/2017,,,
30,rui314,614,6,18,1/18/2009,12/12/2017,,,
31,nickoneill,323,47,50,1/27/2009,11/22/2017,,,
32,josharian,235,3,89,3/26/2009,10/19/2017,,,
33,nf,1540,13,48,4/17/2009,10/11/2017,,,
34,aboodman,141,8,29,5/3/2009,10/28/2017,,,
35,whitaker,41,2,2,5/6/2009,12/1/2017,,,
36,jbenet,1154,27,271,10/11/2009,12/5/2017,,,
37,CSEMike,36,4,6,11/11/2009,11/10/2017,,,
38,remyoudompheng,101,1,36,1/2/2010,11/17/2017,,,
39,dpup,227,30,27,2/19/2010,11/27/2017,,,
40,summerwind,84,87,36,3/25/2010,11/22/2017,,,
41,mcmanus,27,0,18,4/30/2010,12/12/2017,,,
42,ality,100,26,7,8/2/2010,11/8/2017,,,
43,tatsuhiro-t,480,2,34,9/17/2010,11/25/2017,,,
44,saljam,41,24,30,4/25/2011,11/24/2017,,,
45,RLH,68,1,3,8/10/2011,11/6/2017,,,
46,wathiede,73,2,46,9/12/2011,11/21/2017,,,
47,aclements,704,7,31,10/31/2012,9/15/2017,,,
48,ianlancetaylor,363,0,5,1/5/2013,12/13/2017,,,
49,bcmills,69,0,2,8/10/2013,11/17/2017,,,
50,randall77,120,0,15,3/8/2014,12/4/2017,,,
51,PresidentObamaBot,3347,0,0,3/14/2014,6/6/2017,,,
52,4a6f656c,72,0,4,7/12/2014,11/8/2017,,,
53,griesemer,644,0,4,8/23/2014,11/21/2017,,,
54,ken,2317,0,0,11/26/2014,11/21/2017,,,
55,mojombo,20659,11,59,10/20/2007,11/27/2017,,,
56,defunkt,16610,208,107,10/20/2007,11/13/2017,,,
57,pjhyett,8192,30,8,1/7/2008,9/16/2017,,,
58,technoweenie,2404,17,165,1/14/2008,12/4/2017,,,
59,atmos,1062,165,168,1/22/2008,12/9/2017,,,
60,bmizerany,1143,19,154,1/24/2008,12/14/2017,,,
61,jnewland,569,83,101,1/25/2008,12/9/2017,,,
62,schacon,11742,24,185,1/27/2008,12/5/2017,,,
63,benburkert,154,7,124,1/28/2008,12/4/2017,,,
64,sr,474,193,125,1/29/2008,11/14/2017,,,
65,josh,2054,57,40,2/3/2008,12/8/2017,,,
66,ryanb,7005,94,52,2/7/2008,8/28/2017,,,
67,mtodd,431,289,138,2/11/2008,11/30/2017,,,
68,maddox,599,5,108,2/13/2008,11/20/2017,,,
69,rtomayko,2082,100,26,2/19/2008,11/24/2017,,,
70,eric,192,41,181,2/20/2008,12/7/2017,,,
71,nakajima,644,117,122,2/20/2008,12/6/2017,,,
72,probablycorey,533,1,40,2/21/2008,11/1/2017,,,
73,tekkub,6464,3,18,2/23/2008,8/25/2017,,,
74,ericflo,747,225,52,2/27/2008,9/15/2017,,,
75,paulca,189,19,90,2/27/2008,11/3/2017,,,
76,bryanveloso,513,149,82,2/27/2008,9/3/2017,,,
77,kneath,1078,37,32,2/28/2008,11/21/2017,,,
78,paulcbetts,1535,2,248,2/28/2008,12/11/2017,,,
